FID,the_geom,id_healthF,nmHsp_mya,nmHsp_eng,lvlHsp_mya,lvlHsp_eng,bedClass,SR_PCODE,SR_mya,SR,DT_PCODE,DT,TS_PCODE,TS_mya,TS_en,SELF_ADMIN,comment,accuraConf
health_facilities_myanmar2020_v20241016.403,POINT (95.36247000000009 18.732379000000037),hsp_0404,ဆင်မြီးဆွဲတိုက်နယ်ဆေးရုံ,Sin Mee Swe Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008005,သဲကုန်း,Thegon,,,high confidence
health_facilities_myanmar2020_v20241016.404,POINT (95.21404700000005 18.702666000000022),hsp_0405,ရွှေတောင်မြို့နယ်ဆေးရုံ,Shwedaung Township Hospital,မြို့နယ်,Township,25,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008006,ရွှေတောင်,Shwedaung,,,high confidence
health_facilities_myanmar2020_v20241016.405,POINT (95.10873500000008 18.644790000000057),hsp_0406,ကျီးသဲတိုက်နယ်ဆေးရုံ,Kyee Thea Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008006,ရွှေတောင်,Shwedaung,,,high confidence
health_facilities_myanmar2020_v20241016.406,POINT (95.20729700000004 18.434930000000065),hsp_0407,တရုပ်မှော်တိုက်နယ်ဆေးရုံ,Ta Yoke Hmaw Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008006,ရွှေတောင်,Shwedaung,,,high confidence
health_facilities_myanmar2020_v20241016.407,POINT (95.23036900000005 18.40340200000003),hsp_0408,ကွေ့မတိုက်နယ်ဆေးရုံ,Kway Ma Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D001,Pyay,MMR008006,ရွှေတောင်,Shwedaung,,,high confidence
health_facilities_myanmar2020_v20241016.408,POINT (95.78658000000007 17.653689000000043),hsp_0409,သာယာဝတီပြည်သူ့ဆေးရုံ,Thayarwady General Hospital,မြို့နယ်,General,NA,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008007,သာယာဝတီ,Thayarwady,,,high confidence
health_facilities_myanmar2020_v20241016.409,POINT (95.72837800000008 17.601797000000033),hsp_0410,စံရွေးတိုက်နယ်ဆေးရုံ,San Yway Station Hospital,တိုက်နယ်,Station,NA,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008007,သာယာဝတီ,Thayarwady,,,high confidence
health_facilities_myanmar2020_v20241016.410,POINT (95.75712600000008 17.78659700000003),hsp_0411,လက်ပံတန်းမြို့နယ်ဆေးရုံ,Letpadan Township Hospital,မြို့နယ်,Township,50,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008008,လက်ပံတန်း,Letpadan,,,probably accurate
health_facilities_myanmar2020_v20241016.411,POINT (95.61329600000005 17.80919700000004),hsp_0412,ခမုံတိုက်နယ်ဆေးရုံ,Kha Mon Seik Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008008,လက်ပံတန်း,Letpadan,,,high confidence
health_facilities_myanmar2020_v20241016.412,POINT (95.47463700000009 17.693110000000047),hsp_0413,သာရဝေါတိုက်နယ်ဆေးရုံ,Thar Ra Waw Station Hospital,တိုက်နယ်,Station,16,MMR008,ပဲခူးတိုင်းဒေသကြီး,Bago (West),MMR008D002,Thayarwady,MMR008008,လက်ပံတန်း,Letpadan,,,high confidence
